First.Name.s,Surname,birth,death,occupation_s,Inventions.Accomplishment,links,links_corrected,order,image
Archia,Ross,NA,NA,Inventor,"A runner for stoops (1896), bag closure device (1898), a wrinkle-preventing trouser stretcher (1899), a garment-hanger (1903), and a holder for brooms and like articles.",https://en.wikipedia.org/wiki/Archia_Ross,https://en.wikipedia.org/wiki/Archia_Ross,96,
Jesse,Russell,1948,NA,Engineer; inventor,"He holds patents and continues to invent and innovate in the emerging area of next generation broadband wireless networks, technologies and services, which is frequently referred to as 4G. Russell was inducted into the United States' National Academy of Engineering during the Clinton Administration for his contribution to the field of Wireless Communication. He pioneered the field of digital cellular communication in the 1980s through the use of high power linear amplification and low bit rate voice encoding technologies and received a patent in 1992 (US patent #5,084,869) for his work in the area of digital cellular base station design.",https://en.wikipedia.org/wiki/Jesse_Russell,https://en.wikipedia.org/wiki/Jesse_Russell,97,
Walter,Sammons,1890,1973,Inventor,Patent for hot comb,https://en.wikipedia.org/wiki/Thomas_Sowell,https://en.wikipedia.org/wiki/Thomas_Sowell,98,
Claude,Steele,1946,NA,Psychologist; social scientist,He is best known for his work on stereotype threat and its application to minority student academic performance. His earlier work dealt with research on the self (like self-image and self-affirmation) as well as the role of self-regulation in addictive behaviors.,https://en.wikipedia.org/wiki/Claude_Steele,https://en.wikipedia.org/wiki/Claude_Steele,99,
Lee,Stiff,1941,NA,Mathematician,"From 2000 to 2002 Stiff was president of the National Council of Teachers of Mathematics. Under his leadership, the NCTM pushed for a greater emphasis on basic computational skills in elementary and secondary school mathematics education, and for an appropriate emphasis on conceptual understanding.",https://en.wikipedia.org/wiki/Lee_Stiff,https://en.wikipedia.org/wiki/Lee_Stiff,100,
Window,Snyder,1976,NA,Computer engineer,"Mwende Window Snyder, better known as Window Snyder (born 1975) is an American computer security expert, currently working as the Chief Security Officer at Square, Inc.. She has previously been a top security officer at Apple, Fastly, Intel and Mozilla Corporation. She was also a Senior Security Strategist at Microsoft. She is co-author of Threat Modeling, a standard manual on application security.",https://en.wikipedia.org/wiki/Window_Snyder,https://en.wikipedia.org/wiki/Window_Snyder,101,
Lewis,Temple,1800,1854,Inventor; blacksmith; abolitionist,Inventor of the toggling whaling harpoon head,https://en.wikipedia.org/wiki/Lewis_Temple,https://en.wikipedia.org/wiki/Lewis_Temple,102,//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Lewis_Temple_statue.JPG/220px-Lewis_Temple_statue.JPG
Vivien,Thomas,1910,1985,Surgical technician,Blue baby syndrome treatment in the 1940s,https://en.wikipedia.org/wiki/Vivien_Thomas,https://en.wikipedia.org/wiki/Vivien_Thomas,103,//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vivien_Thomas.jpg/220px-Vivien_Thomas.jpg
Charles Henry,Turner,1867,1923,Zoologist,"First person to prove that insects can hear and can distinguish pitch, that cockroaches can learn by trial and error, and that honeybees can see color; first black person to receive a PhD from the University of Chicago",https://en.wikipedia.org/wiki/Charles_Henry_Turner_(zoologist),https://en.wikipedia.org/wiki/Charles_Henry_Turner_(zoologist),104,
G. Bernadette,Tyree,NA,NA,Biochemist[citation needed],"Program Director, Division of Musculoskeletal Diseases, at National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health",https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists,105,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Tyson_-_Apollo_40th_anniversary_2009.jpg/170px-Tyson_-_Apollo_40th_anniversary_2009.jpg
Dorothy,Vaughan,1910,2008,Mathematician,"Dorothy Johnson Vaughan (1910 – 2008) was an American mathematician and human computer who worked for the National Advisory Committee for Aeronautics (NACA), and NASA, at Langley Research Center in Hampton, Virginia. In 1949, she became supervisor of the West Area Computers, the first African-American woman to supervise a group of staff at the center. During her 28-year career, Vaughan prepared for the introduction of machine computers in the early 1960s by teaching herself and her staff the programming language of Fortran. She later headed the programming section of the Analysis and Computation Division (ACD) at Langley.",https://en.wikipedia.org/wiki/Dorothy_Vaughan,https://en.wikipedia.org/wiki/Dorothy_Vaughan,106,//upload.wikimedia.org/wikipedia/commons/thumb/9/93/L_Dorothy_Vaughan_M_Lessie_Hunter_R_Vivian_Adair.jpg/220px-L_Dorothy_Vaughan_M_Lessie_Hunter_R_Vivian_Adair.jpg
Powtawche,Valerino,1980,NA,Engineer,"Powtawche Valerino is an American mechanical engineer at the NASA Jet Propulsion Laboratory. She worked as a navigation engineer for the Cassini mission. Her most recent project was the Parker Solar Probe spacecraft, which launched on August 12, 2018. It became the first satellite to fly as close to the sun as Helios 2 did in 1976.",https://en.wikipedia.org/wiki/Powtawche_Valerino,https://en.wikipedia.org/wiki/Powtawche_Valerino,107,//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Cassini-Huygens_lifted_of_with_a_Titan_4%2801%29B_from_Launch_Compex_40.jpg/220px-Cassini-Huygens_lifted_of_with_a_Titan_4%2801%29B_from_Launch_Compex_40.jpg
"Arthur B. C., Jr.",Walker,1936,2001,Astronomer,Developed normal incidence multilayer XUV telescopes to photograph the solar corona,"https://en.wikipedia.org/wiki/Arthur_B._C._Walker,_Jr.","https://en.wikipedia.org/wiki/Arthur_B._C._Walker,_Jr.",108,
