First.Name.s,Surname,birth,death,occupation_s,Inventions.Accomplishment,links,links_corrected,order,image
George,Carruthers,1939,NA,Astrophysicist,"Invented ultraviolet camera/spectrograph, which was used by NASA when it launched Apollo 16 in 1972",https://en.wikipedia.org/wiki/George_Robert_Carruthers,https://en.wikipedia.org/wiki/George_Robert_Carruthers,29,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Far_Ultraviolet_Camera_Spectrograph.jpg/220px-Far_Ultraviolet_Camera_Spectrograph.jpg
George Washington,Carver,1865,1943,Botanical researcher,"Discovered hundreds of uses for previously useless vegetables and fruits, principally the peanut",https://en.wikipedia.org/wiki/George_Washington_Carver,https://en.wikipedia.org/wiki/George_Washington_Carver,30,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Moses_Carver_Farm_%287100120493%29.jpg/220px-Moses_Carver_Farm_%287100120493%29.jpg
Charles W.,Chappelle,1872,1941,Electrician; construction; international businessman; and aviation pioneer,Designed long-distance flight airplane; the only black person to invent and display the airplane at the 1911 First Industrial Air Show held in conjunction with the Auto Show at Grand Central Palace in Manhattan in New York City,https://en.wikipedia.org/wiki/Charles_W._Chappelle,https://en.wikipedia.org/wiki/Charles_W._Chappelle,31,
Emmett,Chappelle,1925,2019,Scientist and researcher,"Valuable contributions to several fields: medicine, biology, food science, and astrochemistry",https://en.wikipedia.org/wiki/Emmett_Chappelle,https://en.wikipedia.org/wiki/Emmett_Chappelle,32,//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Dr._Emmett_W._Chappelle.jpg/220px-Dr._Emmett_W._Chappelle.jpg
Mamie,Clark,1914,2005,Psychologist,Conducted 1940s experiments using dolls to study children's attitudes about race,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark,33,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Kenneth-b-clark.jpg/220px-Kenneth-b-clark.jpg
Kenneth,Clark,1917,1983,Psychologist,First Black president of the American Psychological Association,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark,34,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Kenneth-b-clark.jpg/220px-Kenneth-b-clark.jpg
"David, Jr.",Crosthwait,1898,1976,Research engineer,"Heating, ventilation, and air conditioning; received some 40 US patents relating to HVAC systems",https://en.wikipedia.org/wiki/David_Crosthwait,https://en.wikipedia.org/wiki/David_Crosthwait,35,
James H (Nick),Curtis,1935,NA,Researcher; chemist (electronics/specialty chemicals),"Organic ionogen for aluminum electrolytic capacitors, cationic dialdehyde polysaccharides for wet strength paper and others, US Patent Office US Pat #3609467 US Pat #3547423 and others",https://en.wikipedia.org/w/index.php?title=Nick_Curtis&action=edit&redlink=1,https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists,36,
John,Dabiri,1980,NA,Biophysicist,Expert on jellyfish hydrodynamics and designer of a vertical-axis wind farm adapted from schooling fish,https://en.wikipedia.org/wiki/John_Dabiri,https://en.wikipedia.org/wiki/John_Dabiri,37,
Marie Maynard,Daly,1921,2003,Chemist,First black American woman with a PhD in chemistry,https://en.wikipedia.org/wiki/Marie_Maynard_Daly,https://en.wikipedia.org/wiki/Marie_Maynard_Daly,38,
Mark,Dean,1957,NA,Computer scientist,"Led the team that developed the ISA bus, and led the design team responsible for creating the first one-gigahertz computer processor chip",https://en.wikipedia.org/wiki/Mark_Dean_(computer_scientist),https://en.wikipedia.org/wiki/Mark_Dean_(computer_scientist),39,
Charles,Drew,1904,1950,Medical researcher,Developed improved techniques for blood storage,https://en.wikipedia.org/wiki/Charles_R._Drew,https://en.wikipedia.org/wiki/Charles_R._Drew,40,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Charles_Richard_Drew_-_Dunbar_HS_Yearbook_Entry_%281922%29.png/475px-Charles_Richard_Drew_-_Dunbar_HS_Yearbook_Entry_%281922%29.png
Paul,Du Chaillu,1831,1903,ZoologistexplorerAnthropologist,"Explorer; first modern European outsider to confirm the existence of gorillas, and later the Pygmy people of central Africa; identified as white throughout life, but his mother was a mulatto woman; settled in America and considered it his country",https://en.wikipedia.org/wiki/Paul_Du_Chaillu,https://en.wikipedia.org/wiki/Paul_Du_Chaillu,41,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/French_explorer_Paul_du_Chaillu_at_close_quarters_with_a_gorilla.jpg/220px-French_explorer_Paul_du_Chaillu_at_close_quarters_with_a_gorilla.jpg
Annie,Easley,1933,NA,Computer scientist,"Work at the Lewis Research Center of the National Aeronautics and Space Administration and its predecessor, the National Advisory Committee for Aeronautics",https://en.wikipedia.org/wiki/Annie_Easley,https://en.wikipedia.org/wiki/Annie_Easley,42,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Annie_Easley.jpg/220px-Annie_Easley.jpg
"Clarence ""Skip""",Ellis,1943,2014,Computer scientist,First African American with a PhD in computer science; software inventor including OfficeTalk at Xerox PARC,https://en.wikipedia.org/wiki/Clarence_Ellis_(computer_scientist),https://en.wikipedia.org/wiki/Clarence_Ellis_(computer_scientist),43,
Bisi,Ezerioha,1972,NA,Automotive engineer,Drag racing engineer and driver,https://en.wikipedia.org/wiki/Bisi_Ezerioha,https://en.wikipedia.org/wiki/Bisi_Ezerioha,44,
Lloyd Noel,Ferguson,1918,2011,Chemist; educator,"Chemistry doctorate, first received (1943, University of California, Berkeley)",https://en.wikipedia.org/wiki/Lloyd_Noel_Ferguson,https://en.wikipedia.org/wiki/Lloyd_Noel_Ferguson,45,
Sylvester James,Gates,1950,NA,Theoretical physicist,"Work on supersymmetry, supergravity, and superstring theory",https://en.wikipedia.org/wiki/Sylvester_James_Gates,https://en.wikipedia.org/wiki/Sylvester_James_Gates,46,
Sarah E.,Goode,1855,1905,Inventor,Cabinet bed invention; first black woman to receive a patent in the United States,https://en.wikipedia.org/wiki/Sarah_E._Goode,https://en.wikipedia.org/wiki/Sarah_E._Goode,47,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Sarahgoodebed.gif/220px-Sarahgoodebed.gif
Juan E.,Gilbert,1969,NA,Computer scientist,Awarded the first Presidential Endowed Chair at Clemson University in honor of his accomplishments,https://en.wikipedia.org/wiki/Juan_E._Gilbert,https://en.wikipedia.org/wiki/Juan_E._Gilbert,48,
George F.,Grant,1846,1910,Dentist; professor,"The first black professor at Harvard, Boston dentist, and inventor of a wooden golf tee.",https://en.wikipedia.org/wiki/George_Franklin_Grant,https://en.wikipedia.org/wiki/George_Franklin_Grant,49,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Patent_US638920-0.png/220px-Patent_US638920-0.png
Joseph L.,Graves,1955,NA,Evolutionary biologist,"Graves' research concerns the evolutionary genetics of postponed aging and biological concepts of race in humans,",https://en.wikipedia.org/wiki/Joseph_L._Graves,https://en.wikipedia.org/wiki/Joseph_L._Graves,50,
Lisa,Green,NA,NA,Linguist,Specializes in syntax and the study of African American English,https://en.wikipedia.org/wiki/Lisa_Green_(linguist),https://en.wikipedia.org/wiki/Lisa_Green_(linguist),51,
Kevin,Greenaugh,1956,NA,Nuclear engineer,Greenaugh attended college early and became the first African American to receive a doctorate in Nuclear Engineering at the University of Maryland.,https://en.wikipedia.org/wiki/Kevin_Greenaugh,https://en.wikipedia.org/wiki/Kevin_Greenaugh,52,
Bessie Blount,Griffin,1914,2009,Physical therapist; inventor,Amputee self-feeding device,https://en.wikipedia.org/wiki/Bessie_Blount_Griffin,https://en.wikipedia.org/wiki/Bessie_Blount_Griffin,53,
Lloyd,Hall,1894,1971,Chemist,"contributed to the science of food preservation. By the end of his career, Hall had amassed 59 United States patents, and a number of his inventions were also patented in other countries.",https://en.wikipedia.org/wiki/Lloyd_Hall,https://en.wikipedia.org/wiki/Lloyd_Hall,54,
James A.,Harris,1932,2000,NA,Co-discovered Rutherfordium (element 104) and Dubnium (element 105) at Lawrence Livermore Laboratory,https://en.wikipedia.org/wiki/James_Andrew_Harris,https://en.wikipedia.org/wiki/James_Andrew_Harris,55,
Walter Lincoln,Hawkins,1911,1992,Scientist,Inventor at Bell Laboratories,https://en.wikipedia.org/wiki/Walter_Lincoln_Hawkins,https://en.wikipedia.org/wiki/Walter_Lincoln_Hawkins,56,
John E.,Hodge,1914,1996,Chemist,best known for establishing the mechanisms in the Maillard reaction pathway.,https://en.wikipedia.org/wiki/John_E._Hodge,https://en.wikipedia.org/wiki/John_E._Hodge,57,
Kerrie,Holley,1954,NA,Computer scientist,IBM's 1st black Distinguished Engineer and 2nd black IBM Fellow.  Inventor of several software engineering techniques including system and methods for locating mobile devices using location and presence information,https://en.wikipedia.org/wiki/Kerrie_Holley,https://en.wikipedia.org/wiki/Kerrie_Holley,58,
John W,Jackson,1953,2007,Electrical Engineer; inventor,Co-inventor of imaging x-ray spectrometer.,https://en.wikipedia.org/wiki/Mary_Jackson_(engineer),https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists,59,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Mary_Jackson_working_2_-_Restoration.jpg/260px-Mary_Jackson_working_2_-_Restoration.jpg
Dr. Shirley,Jackson,1946,NA,Physicist,"Helped develop technologies leading to the invention of the touch-tone telephone, portable fax, solar cells, fiber optic cables, and the technology enabling caller ID and call waiting.",https://en.wikipedia.org/wiki/Shirley_Ann_Jackson,https://en.wikipedia.org/wiki/Shirley_Ann_Jackson,60,
Erich,Jarvis,1965,NA,Neurobiologist,Duke University neuroscience bird songs studies,https://en.wikipedia.org/wiki/Erich_Jarvis,https://en.wikipedia.org/wiki/Erich_Jarvis,61,
Thomas L.,Jennings,1791,1856,Inventor,First black person to be granted a patent (for a dry cleaning process called dry scouring),https://en.wikipedia.org/wiki/Thomas_L._Jennings,https://en.wikipedia.org/wiki/Thomas_L._Jennings,62,
Isaac,Johnson,1812,NA,Inventor,"Held patent for improvements to the bicycle frame, specifically so it could be taken apart for compact storage",https://en.wikipedia.org/wiki/Lonnie_Johnson_(inventor),https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists,63,//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Bradley_Byrne_and_Lonnie_Johnson_2018_a.jpg/220px-Bradley_Byrne_and_Lonnie_Johnson_2018_a.jpg
Oluwabusuyi,Isola,1965,NA,Professor; International Finance; inventor,Invented Double Sided Guitar,https://en.wikipedia.org/wiki/Katherine_Johnson,https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists,64,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Katherine_Johnson_at_NASA%2C_in_1966.jpg/220px-Katherine_Johnson_at_NASA%2C_in_1966.jpg
Frederick McKinley,Jones,1893,1961,Inventor,Invented refrigerated truck systems,https://en.wikipedia.org/wiki/Frederick_McKinley_Jones,https://en.wikipedia.org/wiki/Frederick_McKinley_Jones,65,
Percy,Julian,1899,1975,Chemist,First to synthesize the natural product physostigmine; earned 130 chemical patents; lauded for humanitarian achievements,https://en.wikipedia.org/wiki/Percy_Lavon_Julian,https://en.wikipedia.org/wiki/Percy_Lavon_Julian,66,
Ernest,Just,1883,1941,Woods Hole Marine Biology Institute biologist,Provided basic and initial descriptions of the structure-function-property relationship of the plasma membrane of biological cells,https://en.wikipedia.org/wiki/Ernest_Everett_Just,https://en.wikipedia.org/wiki/Ernest_Everett_Just,67,
Rick,Kittles,1967,NA,Geneticist,Work in tracing the ancestry of African Americans via DNA testing,https://en.wikipedia.org/wiki/Rick_Kittles,https://en.wikipedia.org/wiki/Rick_Kittles,68,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Rick_Kittles_at_National_Human_Genome_Research_Institute.jpg/220px-Rick_Kittles_at_National_Human_Genome_Research_Institute.jpg
Samuel L.,Kountz,1930,1981,Transplant surgeon; researcher,"Organ transplantation pioneer, particularly renal transplant research and surgery; author or co-author of 172 articles in scientific publications",https://en.wikipedia.org/wiki/Samuel_L._Kountz,https://en.wikipedia.org/wiki/Samuel_L._Kountz,69,
Lewis,Latimer,1848,1928,Inventor; draftsman; expert witness,Worked as a draftsman for both Alexander Graham Bell and Thomas Edison; became a member of Edison's Pioneers and served as an expert witness in many light bulb litigation lawsuits; said to have invented the water closet,https://en.wikipedia.org/wiki/Lewis_Howard_Latimer,https://en.wikipedia.org/wiki/Lewis_Howard_Latimer,70,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Light_bulb_by_Lewis_Latimer%2C_1883_-_Museum_of_Science_and_Industry_%28Chicago%29_-_DSC06448.JPG/114px-Light_bulb_by_Lewis_Latimer%2C_1883_-_Museum_of_Science_and_Industry_%28Chicago%29_-_DSC06448.JPG
Jerry,Lawson,1940,2011,Computer engineer,"Designer of Fairchild Channel F, the first programmable ROM cartridge-based video game console",https://en.wikipedia.org/wiki/Jerry_Lawson_(engineer),https://en.wikipedia.org/wiki/Jerry_Lawson_(engineer),71,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Fairchild-Channel-F.jpg/220px-Fairchild-Channel-F.jpg
Raphael Carl,Lee,1949,NA,Surgeon; biomedical engineer[citation needed],"Paul and Aileen Russell Professor, Pritzker School of Medicine; MacArthur Fellow, Searle Scholar, founder and chairman, Avocet Polymer Technologies, Inc.; founder and chairman, Renacyte BioMolecular Technologies, Inc; discovered use of surfactant copolym",https://en.wikipedia.org/wiki/Raphael_Carl_Lee,https://en.wikipedia.org/wiki/Raphael_Carl_Lee,72,
