year,accomplishment,person,gender,category
1968,First fine-arts museum devoted to black artists,Studio Museum in Harlem,Male Achievement,Social & Jobs
1968,First black actress to star in her own television series where she did not play a domestic worker,Diahann Carroll in Julia,Female Achievement,Arts & Entertainment
1968,First black woman as Presidential candidate,Charlene Mitchell,Female Achievement,Politics
1968,First black woman reporter for The New York Times,Nancy Hicks Maynard,Female Achievement,Social & Jobs
1968,First black starring character of a comic strip,Danny Raven in Dateline,Male Achievement,Arts & Entertainment
1968,First black actor to star in the lead role on a TV western series,Otis Young in The Outcasts,Male Achievement,Arts & Entertainment
1969,First black superhero,"The Falcon, Marvel Comics' Captain America #117 (September 1969)",Female Achievement,Arts & Entertainment
1969,First black graduate of Harvard Business School,Lillian Lincoln,Male Achievement,Education & Science
1969,First black director of a major Hollywood motion picture,Gordon Parks (The Learning Tree),Male Achievement,Arts & Entertainment
1969,First black founder of a classical training school and company of ballet,"Arthur Mitchell, Dance Theatre of Harlem",Male Achievement,Education & Science
1969,First black woman to appear on the Grand Ole Opry,Linda Martell,Female Achievement,Arts & Entertainment
1969,First black person to own a commercial airliner,Warren Wheeler (Wheeler Airline),Male Achievement,Social & Jobs
1970,First black woman to win a Primetime Emmy Award,"Gail Fisher, for Outstanding Supporting Actress in a Drama Series, for Mannix",Female Achievement,Arts & Entertainment
1970,First black person to head an Episcopal diocese,"John Melville Burgess, diocesan bishop of Massachusetts",Male Achievement,Religion
1970,First black U.S. Navy Master Diver,Carl Brashear ,Male Achievement,Military
1970,First black member of the New York Stock Exchange,Joseph L. Searles III,Male Achievement,Social & Jobs
1970,First black NCAA Division I basketball coach,Will Robinson (Illinois State University),Male Achievement,Education & Science
1970,First black contestant in the Miss America pageant,Cheryl Browne (Miss Iowa),Male Achievement,Social & Jobs
1971,First black pitcher to be inducted into the Baseball Hall of Fame,Satchel Paige,Female Achievement,Education & Science
1971,First black president of the New York City Board of Education,Isaiah Edward Robinson Jr.,Male Achievement,Education & Science
1971,First black person to win a Golden Globe Award,Gail Fisher for Mannix,Male Achievement,Arts & Entertainment
1971,First black female jockey in the United States,Cheryl White,Female Achievement,Politics
1971,First black person to appear by herself on the cover of Playboy,Darine Stern (October issue),Female Achievement,Social & Jobs
1972,First black person to campaign for the United States presidency in a major political party and to win a U.S. presidential primary/caucus,"Shirley Chisholm (Democratic Party, New Jersey primar",Male Achievement,Politics
1972,First black superhero to star in own comic-book series,"Luke Cage, Marvel Comics' Luke Cage, Hero for Hire #1 (June 1972).",Female Achievement,Arts & Entertainment
1972,First black National Basketball Association general manager,Wayne Embry,Male Achievement,Military
1972,First black interracial romantic kiss in a mainstream comics magazine,"The Men Who Called Him Monster, by writer Don McGregor",Male Achievement,Arts & Entertainment
1972,First black interracial male kiss on network television,Sammy Davis Jr. (African-American) and Carroll O'Connor (Caucasian) in All in the Family,Male Achievement,Arts & Entertainment
1972,First black person inducted to the Basketball Hall of Fame,"Team-owner and coach Bob Douglas, in the category of contributor",Male Achievement,Education & Science
1972,First black woman Broadway director,"Vinnette Justine Carroll (Don't Bother Me, I Can't Cope)",Female Achievement,Arts & Entertainment
1972,First black comic-book creator to receive a created by cover-credit,Wayne Howard (Midnight Tales #1),Male Achievement,Arts & Entertainment
1973,First black artistic director of a professional regional theater,Harold Scott (Cincinnati Playhouse in the Park),Male Achievement,Arts & Entertainment
1973,First black Bond villain,"Yaphet Kotto, playing Mr. Big/Dr. Kananga, Live and Let Die.",Male Achievement,Arts & Entertainment
1973,First black Bond Girl in a James Bond movie,"Gloria Hendry (playing Rosie Carver), Live and Let Die.",Male Achievement,Arts & Entertainment
1973,First black person elected mayor of Los Angeles,Tom Bradley,Male Achievement,Politics
1973,First black psychologist in the U.S. Air Force,John D. Robinson,Male Achievement,Military
1973,First black woman mayor of a U.S. metropolitan city,"Doris A. Davis, Compton, California",Female Achievement,Politics
1974,First black model on the cover of American Vogue magazine,Beverly Johnson,Male Achievement,Arts & Entertainment
1975,"First black person elected mayor, and first mayor, of Washington, D.C.",Walter Washington,Male Achievement,Politics
1975,First black game show host,Adam Wade (CBS' Musical Chairs),Male Achievement,Sports
1975,First black four-star general,Daniel James Jr.,Male Achievement,Military
1975,First black person inducted to the Basketball Hall of Fame as a player,Bill Russell,Male Achievement,Education & Science
1975,First black interracial couple in a TV-series cast,"The Jeffersons, actors Franklin Cover (Caucasian) and Roxie Roker (black) as Tom and Helen Willis, respectively; series creator",Male Achievement,Arts & Entertainment
1975,First black interracial romantic kiss in a color comic book,"Amazing Adventures #31 (July 1975), feature Killraven",Male Achievement,Arts & Entertainment
1975,First black manager in Major League Baseball,Frank Robinson (Cleveland Indians),Male Achievement,Education & Science
1975,First black model on the cover of Elle magazine,Beverly Johnson,Male Achievement,Arts & Entertainment
1975,First black psychologist in the U.S. Navy,John D. Robinson,Male Achievement,Military
1975,First black person to play in a men's major golf championship,Lee Elder (The Masters),Male Achievement,Sports
1975,First black person to be named Super Bowl MVP in NFL,"Franco Harris (Pittsburgh Steelers). Of mixed heritage, Harris was also the first Italian-American to win the award.",Male Achievement,Education & Science
1975,First black women named as Time magazine's Person of the Year,Barbara Jordan and Addie L. Wyatt,Male Achievement,Arts & Entertainment
1976,First black woman elected officer of international labor union,Addie L. Wyatt,Female Achievement,Military
1976,First black person appointed as a judge in Federal District Court in Virginia,"Robert H. Cooley III, appointed to the Eastern District",Male Achievement,Law
1977,"First black person, and first woman, appointed director of the Peace Corps",Carolyn R. Payton,Female Achievement,Arts & Entertainment
1977,"First black person drafted to play professional basketball, first woman to dunk in a professional women's game",Cardte Hicks,Female Achievement,Education & Science
1977,First black woman in the U.S. Cabinet,"Patricia Roberts Harris, Secretary of Housing and Urban Development",Female Achievement,Politics
1977,First black woman whose signature appeared on U.S. currency,"Azie Taylor Morton, the 36th Treasurer of the United States",Female Achievement,Social & Jobs
1977,First black publisher of mainstream gay publication,Alan Bell (Gaysweek),Female Achievement,Arts & Entertainment
1977,First black woman to join the Daughters of the American Revolution,Karen Batchelor,Female Achievement,Social & Jobs
1977,First black Major League Baseball general manager,Bill Lucas (Atlanta Braves),Male Achievement,Military
1977,First black woman to be ordained as an Episcopal priest,Pauli Murray.,Female Achievement,Religion
1978,First black broadcast network news anchor,Max Robinson,Male Achievement,Arts & Entertainment
1978,First black woman pilot for a major commercial airline,"Jill E. Brown, Texas International Airlines",Female Achievement,Social & Jobs
1979,First black U.S. Marine Corps general officer,Frank E. Petersen,Male Achievement,Military
1979,First black person to win a Daytime Emmy Award for lead actor in a soap opera,Al Freeman Jr. (Ed Hall in One Life to Live),Male Achievement,Arts & Entertainment
1979,"First black woman ordained in the Lutheran Church in America (LCA), the largest of three denominations that later combined to form the Evangelical Lutheran Church in America",Earlean Miller,Female Achievement,Religion
1979,First black head coach of a NCAA Division I-A football program,Willie Jeffries (Wichita State).,Male Achievement,Sports
1980,First black-oriented cable channel,BET,Male Achievement,Arts & Entertainment
1981,First black person to play in the NHL,Val James (Buffalo Sabres),Male Achievement,Sports
1982,First black person to receive the Pulitzer Prize for Drama,Charles Fuller for A Soldier's Play,Male Achievement,Arts & Entertainment
1982,First black person inducted to the Basketball Hall of Fame as a coach,Clarence Gaines,Male Achievement,Education & Science
1982,First black U.S. Army four-star General,Roscoe Robinson Jr.,Male Achievement,Military
1982,First black woman to become a principal dancer of a major American ballet company,Debra Austin at Pennsylvania Ballet,Female Achievement,Arts & Entertainment
1983,First black astronaut,Guion Bluford (Challenger mission STS-8),Male Achievement,Education & Science
1983,First black mayor of Chicago,Harold Washington,Male Achievement,Politics
1983,First black Miss America,Vanessa L. Williams,Male Achievement,Social & Jobs
1983,First black owners of a major metropolitan newspaper,"Robert C. and Nancy Hicks Maynard, (Oakland Tribune)",Male Achievement,Social & Jobs
1983,First black artist to have a video shown on MTV,Michael Jackson,Male Achievement,Arts & Entertainment
1984,First black person to win a delegate-awarding U.S. presidential primary/caucus,"Jesse Jackson (Louisiana, the District of Columbia, South Carolina, Virginia and one of two separate Mississippi contests).",Male Achievement,Politics
1984,First black Police Commissioner in New York City ,Benjamin Ward,Male Achievement,Law
1985,First black person to become a member of the U.S. Navy's Blue Angels precision flying team,Donnie Cochran. Also first African-American to command the team (1994).,Male Achievement,Military
1985,First black woman general,Sherian Cadoria,Female Achievement,Military
1986,First black Formula One racecar driver,Willy T. Ribbs,Male Achievement,Sports
1986,"First black musicians inducted into the Rock and Roll Hall of Fame, in the inaugural class","Chuck Berry, James Brown, Ray Charles, Sam Cooke, Fats Domino, and Little Richard",Male Achievement,Arts & Entertainment
1987,"First black woman, and first woman, inducted into the Rock and Roll Hall of Fame",Aretha Franklin,Female Achievement,Arts & Entertainment
1987,First black Radio City Music Hall Rockette,Jennifer Jones,Male Achievement,Arts & Entertainment
1987,First black man to sail around the world,Teddy Seymour,Male Achievement,Social & Jobs
1988,"First black woman elected to a U.S. judgeship, and first appointed to a state supreme court",Juanita Kidd Stout,Female Achievement,Law
1988,First black candidate for President of the United States to obtain ballot access in all 50 states,Lenora Fulani,Male Achievement,Education & Science
1988,First black NFL referee,Johnny Grier,Male Achievement,Sports
1988,First black NFL starting quarterback to win a Super Bowl,Doug Williams (Super Bowl XXII),Male Achievement,Sports
1989,First black NFL coach of the modern era,"Art Shell, Los Angeles Raiders",Male Achievement,Education & Science
1989,First black mayor of New York City,David Dinkins,Male Achievement,Politics
1989,First black Chairman of the Joint Chiefs of Staff,Colin Powell,Male Achievement,Politics
1989,"First black woman, and first woman, ordained bishop in the Episcopal Church",Barbara Clementine Harris,Female Achievement,Religion
1989,First black Chairman of the Democratic National Committee,Ron Brown,Male Achievement,Politics
1990,First elected black governor,Douglas Wilder (Virginia),Male Achievement,Politics
1990,First black person elected president of the Harvard Law Review,Barack Obama,Male Achievement,Law
1990,First black woman to be voted Miss USA,Carole Gist,Male Achievement,Social & Jobs
1990,First black woman voted Playboy Playmate of the Year,Renee Tenison,Male Achievement,Social & Jobs
1990,First black woman to become a principal dancer at Houston Ballet,Lauren Anderson (Houston Ballet),Female Achievement,Arts & Entertainment
1991,First black person nominated for the Academy Award for Best Director,John Singleton for Boyz n the Hood,Male Achievement,Arts & Entertainment
1991,First black person to qualify for the Indianapolis 500 auto race,Willy T. Ribbs,Male Achievement,Sports
1991,"First black woman mayor of Washington, D.C.",Sharon Pratt Kelly,Female Achievement,Politics
1991,First black NBA Coach of the Year,Don Chaney (Houston Rockets),Male Achievement,Sports
1992,First black woman astronaut,Dr. Mae Jemison (Space Shuttle Endeavour),Female Achievement,Education & Science
1992,First black woman elected to U.S. Senate,Carol Moseley Braun (Illinois),Female Achievement,Politics
1992,First black woman to moderate a Presidential debate,Carole Simpson (second debate of 1992 campaign),Female Achievement,Education & Science
1992,First black Major League Baseball manager to reach (and win) the World Series,Cito Gaston (Toronto Blue Jays) 1992 World Series,Male Achievement,Education & Science
1993,First black woman appointed U.S. Secretary of Energy,Hazel R. O'Leary,Female Achievement,Politics
1993,First black person to win the Nobel Prize for Literature,Toni Morrison,Male Achievement,Education & Science
1993,First black woman named Poet Laureate of the United States,Rita Dove; also the youngest person named to that position,Female Achievement,Education & Science
1993,First black person Surgeon General of the United States,Joycelyn Elders,Male Achievement,Military
1993,First black person appointed Director of the National Drug Control Policy,Lee P. Brown,Male Achievement,Arts & Entertainment
1993,First black United States Secretary of Commerce,Ron Brown,Male Achievement,Politics
1993,First black person to serve as home plate umpire for World Series game,Charlie Williams for Game 4 of the 1993 World Series,Male Achievement,Military
1993,First black person to be inducted as a member of the Grand Ole Opry,Charley Pride,Male Achievement,Arts & Entertainment
1994,First black woman director of a major-studio movie,Darnell Martin (Columbia Pictures' I Like It Like That),Female Achievement,Arts & Entertainment
1994,First black person to win the United States Amateur Championship,Tiger Woods,Male Achievement,Politics
1995,First black person to be inducted to the National Radio Hall of Fame,Hal Jackson,Male Achievement,Arts & Entertainment
1995,First black Sergeant Major of the Army,Gene C. McKinney,Male Achievement,Military
1995,First black Miss Universe,Chelsi Smith,Male Achievement,Social & Jobs
1995,"First black person, and first person, to have a song to debut at number one on the Billboard Hot 100 chart",Michael Jackson,Male Achievement,Arts & Entertainment
1996,First black U.S. Navy four-star admiral,J. Paul Reason,Male Achievement,Military
1997,First black person to win a men's major golf championship,Tiger Woods (The Masters),Male Achievement,Sports
1997,First black model to appear on the cover of Sports Illustrated Swimsuit Edition,Tyra Banks,Male Achievement,Education & Science
1997,First black UFC champion,Maurice Smith,Male Achievement,Sports
1997,First black actor to star in the lead role in a comic-book adaptation movie (Spawn),Michael Jai White,Male Achievement,Arts & Entertainment
1997,First black Director of the National Park Service,Robert Stanton,Male Achievement,Arts & Entertainment
1998,First black appointed U.S. Secretary of Labor,Alexis Herman,Male Achievement,Politics
1998,First black woman rear admiral in the U.S. Navy,Lillian Fishburne,Female Achievement,Military
1998,First black Master Chief Petty Officer of the Coast Guard,Vincent W. Patton III,Male Achievement,Military
1998,First black person to play in the Presidents Cup,Tiger Woods,Male Achievement,Politics
1998,First black woman tenured full professor at Johns Hopkins University,Fannie Gaston-Johansson,Female Achievement,Education & Science
1999,First black person to be awarded the International Grandmaster title in chess,Maurice Ashley,Male Achievement,Social & Jobs
1999,First black Sergeant Major of the Marine Corps,Alford L. McMichael,Male Achievement,Military
1999,First black CEO of a Fortune 500 company,Franklin Raines of Fannie Mae,Male Achievement,Social & Jobs
1999,First black woman university president,Shirley Ann Jackson at Rensselaer Polytechnic Institute,Female Achievement,Education & Science
2000,First black person nominated for Vice President of the United States by a Federal Election Commission-recognized and federally funded political party,Ezola B. Foster,Male Achievement,Politics
2000,First black person to be inducted into the Country Music Hall of Fame,Charley Pride,Male Achievement,Arts & Entertainment
2001,First black Secretary of State,Colin Powell,Male Achievement,Politics
2001,First black president of the United States Conference of Catholic Bishops,The Most Reverend Wilton Daniel Gregory,Male Achievement,Religion
2001,First black president of the Unitarian Universalist Association,Rev. William G. Sinkford,Male Achievement,Politics
2001,First black president of an Ivy League university,Ruth J. Simmons at Brown University,Male Achievement,Education & Science
2001,First black woman to win the ASCAP Pop Music Songwriter of the Year award,Beyonce Knowles,Female Achievement,Arts & Entertainment
2001,First black woman National Security Advisor,Condoleezza Rice,Female Achievement,Politics
2001,First black billionaire,"Robert L. Johnson, founder of Black Entertainment Television",Male Achievement,Social & Jobs
2001,First black woman billionaire,Sheila Johnson,Female Achievement,Social & Jobs
2002,First black person to become majority owner of a U.S. major sports league team,"Robert L. Johnson (Charlotte Bobcats, NBA)",Male Achievement,Social & Jobs
2002,First black woman combat pilot in the U.S. Armed Services,"Captain Vernice Armour, USMC",Female Achievement,Social & Jobs
2002,First black person to be ranked #1 in tennis,Venus Williams,Male Achievement,Sports
2002,First black person to be named year-end world champion by the International Tennis Federation,Serena Williams,Male Achievement,Education & Science
2002,First black Arena Football League head coach to win ArenaBowl,"Darren Arbet (San Jose SaberCats), ArenaBowl XVI",Male Achievement,Sports
2002,First black general manager in the National Football League,Ozzie Newsome (Baltimore Ravens),Male Achievement,Military
2002,First black woman to win the Academy Award for Best Actress,Halle Berry,Female Achievement,Arts & Entertainment
2003,First black person to win a Career Grand Slam in tennis,Serena Williams,Male Achievement,Sports
2003,First black American Bar Association president,Dennis Archer,Male Achievement,Law
2004,First black person to win Broadway theater's Tony Award for Best Lead Actress in a Play,Phylicia Rashad,Male Achievement,Arts & Entertainment
2004,First black person inducted into the World Golf Hall of Fame,Charlie Sifford,Male Achievement,Sports
2005,First black woman Secretary of State,Condoleezza Rice,Female Achievement,Politics
2005,First black woman U.S. Coast Guard aviator,Jeanine Menze,Female Achievement,Politics
2006,First black person to command a United States Marine Corps division,Major General Walter E. Gaskin,Male Achievement,Military
2006,First black person to reach the peak of Mount Everest,Sophia Danenberg,Male Achievement,Social & Jobs
2006,First black woman to receive Dharma transmission in Zen Buddhism,Merle Kodo Boyd,Female Achievement,Religion
2006,First black Quarterback inducted into the Pro Football Hall of Fame,Warren Moon,Male Achievement,Sports
2007,First known black woman to reach the North Pole,Barbara Hillary,Female Achievement,Social & Jobs
2007,First black White House Chief Usher,Stephen Rochon,Female Achievement,Politics
2007,First black NFL coach to win a Super Bowl,Tony Dungy (Super Bowl XLI),Male Achievement,Sports
2008,First black person to be nominated as a major-party U.S. presidential candidate,"Barack Obama, Democratic Party",Male Achievement,Politics
2008,First black person elected President of the United States,Barack Obama,Male Achievement,Politics
2008,First black person to referee a Super Bowl game,Mike Carey (Super Bowl XLII),Male Achievement,Sports
2008,First black woman elected Speaker of a state House of Representatives,California Rep. Karen Bass,Female Achievement,Politics
2008,First black person to be appointed to the United States Senate by a state governor,Roland Burris,Male Achievement,Politics
2008,First black woman combat pilot in the United States Air Force,Major Shawna Rochelle Kimbrell,Female Achievement,Military
2009,First black First Lady of the United States,Michelle Obama,Male Achievement,Politics
2009,First black chair person of the Republican National Committee,Michael Steele,Male Achievement,Politics
2009,First black United States Attorney General,Eric Holder,Male Achievement,Military
2009,First black woman United States Ambassador to the United Nations,Susan Rice,Female Achievement,Education & Science
2009,First black United States Trade Representative,Ron Kirk,Male Achievement,Politics
2009,First black woman Administrator of the Environmental Protection Agency,Lisa P. Jackson,Female Achievement,Politics
2009,First black person to be White House Social Secretary,Desiree Rogers,Male Achievement,Politics
2009,First black person to appear by himself on a circulating U.S. coin,Duke Ellington (District of Columbia quarter),Male Achievement,Social & Jobs
2009,First black person to win the Pulitzer Prize for History,"Annette Gordon-Reed, The Hemingses of Monticello",Male Achievement,Arts & Entertainment
2009,First black Administrator of the National Aeronautics and Space Administration,Charles F. Bolden Jr.,Male Achievement,Education & Science
2009,First black woman rabbi,Alysa Stanton,Female Achievement,Religion
2009,First black woman CEO of a Fortune 500 company,"Ursula Burns, Xerox Corporation.",Female Achievement,Social & Jobs
2009,First black doubles team to be named year-end world champions by the International Tennis Federation,Serena and Venus Williams,Male Achievement,Education & Science
2010,First black person to win Stanley Cup,Dustin Byfuglien with Chicago Blackhawks,Male Achievement,Sports
2011,First black Director of the Federal Bureau of Prisons,Charles E. Samuels Jr.,Male Achievement,Military
2011,First black person admitted to the Reconstructionist Rabbinical College,Sandra Lawson,Male Achievement,Religion
2012,First black person to be re-elected President of the United States,Barack Obama,Male Achievement,Politics
2012,First black Combatant Commander of United States Central Command,Lloyd Austin,Male Achievement,Military
2012,First black person elected president of the Southern Baptist Convention (SBC),Fred Luter,Female Achievement,Politics
2012,First black person to direct an animated film with a budget in excess of $100 million,Peter Ramsey (Rise of the Guardians),Male Achievement,Social & Jobs
2013,First black U.S. Senator from the former Confederacy since Reconstruction,Tim Scott,Male Achievement,Politics
2013,First black president of the Academy of Motion Picture Arts and Sciences,Cheryl Boone Isaacs,Male Achievement,Arts & Entertainment
2013,First black United States Secretary of Homeland Security,Jeh Johnson,Male Achievement,Politics
2014,First black woman four-star admiral,Michelle J. Howard,Female Achievement,Military
2014,First black senator to be elected in the South since Reconstruction,"Tim Scott, elected in South Carolina",Male Achievement,Politics
2014,First black woman to be nominated for Best Director by the Golden Globe Awards,Ava DuVernay,Female Achievement,Arts & Entertainment
2015,First black woman Attorney General of the United States,Loretta Lynch,Female Achievement,Military
2015,First black person to lead a major intelligence agency,"Vincent R. Stewart, Defense Intelligence Agency",Male Achievement,Politics
2015,First black person to be inducted into the NASCAR Hall of Fame,Wendell Scott,Male Achievement,Sports
2015,First black commissioner of a major North American sports league,"Jeffrey Orridge, Canadian Football League",Male Achievement,Politics
2015,First black person elected as presiding bishop of the Episcopal Church,Bishop Michael Curry,Male Achievement,Religion
2015,First black woman American Bar Association president,Paulette Brown,Female Achievement,Law
2016,First black president of a major broadcast TV network,Channing Dungey,Male Achievement,Arts & Entertainment
2016,First black Librarian of Congress,Dr. Carla Hayden,Male Achievement,Education & Science
2017,First black CEO of a Major League Baseball team,Derek Jeter,Male Achievement,Social & Jobs
2018,First black artist commissioned for US president portrait to be displayed in the Smithsonian,Kehinde Wiley,Male Achievement,Arts & Entertainment
2018,First black artist commissioned for US first-lady portrait to be displayed in the Smithsonian,Amy Sherald,Male Achievement,Arts & Entertainment
2018,First black president of the American Psychiatric Association,Altha Stewart,Male Achievement,Politics
2018,First black woman to be major party nominee for state governor,Stacey Abrams,Female Achievement,Politics
2018,First black superintendent of the United States Military Academy,Darryl A. Williams,Male Achievement,Military
2018,First black woman U.S. Marine Corps general officer,Lorna Mahlock,Female Achievement,Military
2019,First black person to win an Academy Award for Best Costume Design,Ruth E. Carter,Male Achievement,Arts & Entertainment
2019,First black person to win an Academy Award for Best Production Design,Hannah Beachler,Male Achievement,Arts & Entertainment
2019,First member of the British royal family of black descent by birth,Archie Mountbatten-Windsor,Male Achievement,Social & Jobs
2019,First black secretary of the Smithsonian Institution,Lonnie Bunch,Male Achievement,Arts & Entertainment
2019,First black female director of an Association of Zoos and Aquariums-accredited institution,Denise Verret,Female Achievement,Arts & Entertainment
2019,First black person to be the full-time curator at the Guggenheim,Ashley James,Male Achievement,Arts & Entertainment
2020,The first woman and the first woman of colour ever to be elected Vice President of America.,Kamala Harris,Female Achievement,Politics
2020,First black president of an NFL team,Jason Wright (Washington Football Team),Male Achievement,Sports
2020,"First black vice-presidential running mate on a major party ticket, and first black elected vice president",Kamala Harris,Female Achievement,Politics
2020,First black elected official to lie in state at the U.S. Capitol Rotunda,John Lewis,Male Achievement,Politics
2020,First black openly LGBT elected members of the U.S. Congress,Ritchie Torres,Male Achievement,Politics
2020,First black congresswoman elected in Missouri's history (1st District) to serve in the U.S. Congress; first nurse; and single mother,Cori Bush.,Female Achievement,Politics
2020,First black NHL play by play broadcaster,Everett Fitzhugh (Seattle Kraken),Male Achievement,Sports
2020,First black Catholic cardinal,Wilton Gregory,Male Achievement,Religion
2020,First black woman to be a leading scientist behind COVID-19 vaccine,Dr. Kizzmekia Corbett,Female Achievement,Education & Science
2020,First black person to be appointed as a military Chief of Staff and first black person to lead any branch of the United States Armed Forces,Charles Q. Brown Jr.,Male Achievement,Military
2021,First black United States Secretary of Defense,Lloyd Austin,Male Achievement,Politics
2021,First black person to serve as vice president,Kamala Harris,Female Achievement,Politics
2021,First black female full-time NFL coach (Washington Football Team),Jennifer King,Female Achievement,Sports
2021,First black man (and youngest in U.S. history) to serve as an Impeachment manager in Former President Trump's second impeachment trial,Joe Neguse,Male Achievement,Politics
2021,First black person appointed as American Civil Liberties Union (ACLU) president,Deborah Archer,Female Achievement,Politics
2021,First black female brigade commander at the Naval Academy,Midshipman First Class Sydney Barber,Female Achievement,Military
2021,First black Democratic U.S. Senator to represent a former Confederate state in the United States Senate,"Raphael Warnock, elected in Georgia.",Male Achievement,Politics
2020,First black openly LGBT elected members of the U.S. Congress,Mondaire Jones,Male Achievement,Politics
