year,accomplishment,person,gender,category
1876,First black person to earn a doctorate degree from an American university,"Edward Alexander Bouchet (Yale College Ph.D., physics; also first African American to graduate from Yale, 1874)",Male Achievement,Education & Science
1877,First black graduate of West Point and first black commissioned officer in the U.S. military,Henry Ossian Flipper.,Male Achievement,Military
1878,"First black police officer in Boston, Massachusetts",Sergeant Horatio J. Homer.,Male Achievement,Military
1878,First black baseball player in organized professional baseball,John W. Bud Fowler.,Male Achievement,Education & Science
1879,First black person to graduate from a formal nursing school,"Mary Eliza Mahoney, Boston, Massachusetts.",Male Achievement,Arts & Entertainment
1880,First black person to command a U.S. ship,Captain Michael Healy.,Male Achievement,Military
1881,First black person whose signature appeared on U.S. paper currency,"Blanche K. Bruce, Register of the Treasury.",Male Achievement,Social & Jobs
1882,First fully state-supported four-year institution of higher learning for black students,Virginia State University,Female Achievement,Education & Science
1883,First known black woman to graduate from one of the Seven Sisters colleges,Hortense Parker (Mount Holyoke College),Female Achievement,Social & Jobs
1884,First black person to play professional baseball at the major-league level,Moses Fleetwood Walker.,Male Achievement,Education & Science
1884,First black woman to hold a patent,"Judy W. Reed, for an improved dough kneader, Washington, D.C.",Female Achievement,Education & Science
1884,First black person to enlist in the U.S. Signal Corps,William Hallett Greene,Male Achievement,Military
1884,First black person to chair a political party's National Convention,"John R. Lynch, Republican National Convention.",Male Achievement,Politics
1884,First black person to deliver a keynote address at a political party's National Convention,"John R. Lynch, Republican National Convention.",Male Achievement,Politics
1886,First black Roman Catholic priest publicly known at the time to be black,"Augustine Tolton, Quincy and Chicago, Illinois",Male Achievement,Social & Jobs
1890,First black woman to earn a dental degree in the United States,"Ida Rollins, University of Michigan.",Female Achievement,Education & Science
1890,First black person to record a best-selling phonograph record,"George Washington Johnson, The Laughing Song and The Whistling Coon.",Male Achievement,Education & Science
1890,First woman and black person to earn a military pension for their own military service,Ann Bradford Stokes.,Female Achievement,Military
1891,First black police officer in present-day New York City,"Wiley Overton, hired by the Brooklyn Police Department prior to 1898 incorporation of the five boroughs into the City of New York.",Male Achievement,Military
1892,First black person to sing at Carnegie Hall,Matilda Sissieretta Joyner Jones,Male Achievement,Arts & Entertainment
1892,First black person named to a College Football All-America Team,"William H. Lewis, Harvard University",Male Achievement,Education & Science
1895,First black woman to work for the United States Postal Service,Mary Fields,Female Achievement,Politics
1895,First black person to earn a doctorate degree (Ph.D.) from Harvard University,W.E.B. Du Bois,Male Achievement,Education & Science
1898,First black person appointed to serve as U.S. Army Paymaster,Richard R. Wright,Male Achievement,Military
1899,First black person to achieve world championship in any sport,"Major Taylor, for 1-mile track cycling",Male Achievement,Sports
1901,First black person invited to dine at the White House,Booker T. Washington,Male Achievement,Social & Jobs
1902,First black professional basketball player,Harry Lew (New England Professional Basketball League),Male Achievement,Education & Science
1902,"First black boxing champion, Joe Gans a lightweight",NA,Male Achievement,Sports
