First Name/s,Surname,birth,death,occupation_s,Inventions/Accomplishment,links,links_corrected
Paul,Du Chaillu,1831,1903,ZoologistexplorerAnthropologist,"Explorer; first modern European outsider to confirm the existence of gorillas, and later the Pygmy people of central Africa; identified as white throughout life, but his mother was a mulatto woman; settled in America and considered it his country",https://en.wikipedia.org/wiki/Paul_Du_Chaillu,https://en.wikipedia.org/wiki/Paul_Du_Chaillu
Annie,Easley,1933,NA,Computer scientist,"Work at the Lewis Research Center of the National Aeronautics and Space Administration and its predecessor, the National Advisory Committee for Aeronautics",https://en.wikipedia.org/wiki/Annie_Easley,https://en.wikipedia.org/wiki/Annie_Easley
"Clarence ""Skip""",Ellis,1943,2014,Computer scientist,First African American with a PhD in computer science; software inventor including OfficeTalk at Xerox PARC,https://en.wikipedia.org/wiki/Clarence_Ellis_(computer_scientist),https://en.wikipedia.org/wiki/Clarence_Ellis_(computer_scientist)
Bisi,Ezerioha,1972,NA,Automotive engineer,Drag racing engineer and driver,https://en.wikipedia.org/wiki/Bisi_Ezerioha,https://en.wikipedia.org/wiki/Bisi_Ezerioha
Lloyd Noel,Ferguson,1918,2011,Chemist; educator,"Chemistry doctorate, first received (1943, University of California, Berkeley)",https://en.wikipedia.org/wiki/Lloyd_Noel_Ferguson,https://en.wikipedia.org/wiki/Lloyd_Noel_Ferguson
Sylvester James,Gates,1950,NA,Theoretical physicist,"Work on supersymmetry, supergravity, and superstring theory",https://en.wikipedia.org/wiki/Sylvester_James_Gates,https://en.wikipedia.org/wiki/Sylvester_James_Gates
Sarah E.,Goode,1855,1905,Inventor,Cabinet bed invention; first black woman to receive a patent in the United States,https://en.wikipedia.org/wiki/Sarah_E._Goode,https://en.wikipedia.org/wiki/Sarah_E._Goode
Juan E.,Gilbert,1969,NA,Computer scientist,Awarded the first Presidential Endowed Chair at Clemson University in honor of his accomplishments,https://en.wikipedia.org/wiki/Juan_E._Gilbert,https://en.wikipedia.org/wiki/Juan_E._Gilbert
George F.,Grant,1846,1910,Dentist; professor,"The first black professor at Harvard, Boston dentist, and inventor of a wooden golf tee.",https://en.wikipedia.org/wiki/George_Franklin_Grant,https://en.wikipedia.org/wiki/George_Franklin_Grant
Joseph L.,Graves,1955,NA,Evolutionary biologist,"Graves' research concerns the evolutionary genetics of postponed aging and biological concepts of race in humans,",https://en.wikipedia.org/wiki/Joseph_L._Graves,https://en.wikipedia.org/wiki/Joseph_L._Graves
Lisa,Green,NA,NA,Linguist,Specializes in syntax and the study of African American English,https://en.wikipedia.org/wiki/Lisa_Green_(linguist),https://en.wikipedia.org/wiki/Lisa_Green_(linguist)
Kevin,Greenaugh,1956,NA,Nuclear engineer,Greenaugh attended college early and became the first African American to receive a doctorate in Nuclear Engineering at the University of Maryland.,https://en.wikipedia.org/wiki/Kevin_Greenaugh,https://en.wikipedia.org/wiki/Kevin_Greenaugh
Bessie Blount,Griffin,1914,2009,Physical therapist; inventor,Amputee self-feeding device,https://en.wikipedia.org/wiki/Bessie_Blount_Griffin,https://en.wikipedia.org/wiki/Bessie_Blount_Griffin
Lloyd,Hall,1894,1971,Chemist,"contributed to the science of food preservation. By the end of his career, Hall had amassed 59 United States patents, and a number of his inventions were also patented in other countries.",https://en.wikipedia.org/wiki/Lloyd_Hall,https://en.wikipedia.org/wiki/Lloyd_Hall
James A.,Harris,1932,2000,NA,Co-discovered Rutherfordium (element 104) and Dubnium (element 105) at Lawrence Livermore Laboratory,https://en.wikipedia.org/wiki/James_Andrew_Harris,https://en.wikipedia.org/wiki/James_Andrew_Harris
Walter Lincoln,Hawkins,1911,1992,Scientist,Inventor at Bell Laboratories,https://en.wikipedia.org/wiki/Walter_Lincoln_Hawkins,https://en.wikipedia.org/wiki/Walter_Lincoln_Hawkins
John E.,Hodge,1914,1996,Chemist,best known for establishing the mechanisms in the Maillard reaction pathway.,https://en.wikipedia.org/wiki/John_E._Hodge,https://en.wikipedia.org/wiki/John_E._Hodge
Kerrie,Holley,1954,NA,Computer scientist,IBM's 1st black Distinguished Engineer and 2nd black IBM Fellow.  Inventor of several software engineering techniques including system and methods for locating mobile devices using location and presence information,https://en.wikipedia.org/wiki/Kerrie_Holley,https://en.wikipedia.org/wiki/Kerrie_Holley
John W,Jackson,1953,2007,Electrical Engineer; inventor,Co-inventor of imaging x-ray spectrometer.,https://en.wikipedia.org/wiki/Mary_Jackson_(engineer),https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists
Dr. Shirley,Jackson,1946,NA,Physicist,"Helped develop technologies leading to the invention of the touch-tone telephone, portable fax, solar cells, fiber optic cables, and the technology enabling caller ID and call waiting.",https://en.wikipedia.org/wiki/Shirley_Ann_Jackson,https://en.wikipedia.org/wiki/Shirley_Ann_Jackson
Erich,Jarvis,1965,NA,Neurobiologist,Duke University neuroscience bird songs studies,https://en.wikipedia.org/wiki/Erich_Jarvis,https://en.wikipedia.org/wiki/Erich_Jarvis
Thomas L.,Jennings,1791,1856,Inventor,First black person to be granted a patent (for a dry cleaning process called dry scouring),https://en.wikipedia.org/wiki/Thomas_L._Jennings,https://en.wikipedia.org/wiki/Thomas_L._Jennings
Isaac,Johnson,1812,NA,Inventor,"Held patent for improvements to the bicycle frame, specifically so it could be taken apart for compact storage",https://en.wikipedia.org/wiki/Lonnie_Johnson_(inventor),https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists
Oluwabusuyi,Isola,1965,NA,Professor; International Finance; inventor,Invented Double Sided Guitar,https://en.wikipedia.org/wiki/Katherine_Johnson,https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists
Frederick McKinley,Jones,1893,1961,Inventor,Invented refrigerated truck systems,https://en.wikipedia.org/wiki/Frederick_McKinley_Jones,https://en.wikipedia.org/wiki/Frederick_McKinley_Jones
Percy,Julian,1899,1975,Chemist,First to synthesize the natural product physostigmine; earned 130 chemical patents; lauded for humanitarian achievements,https://en.wikipedia.org/wiki/Percy_Lavon_Julian,https://en.wikipedia.org/wiki/Percy_Lavon_Julian
Ernest,Just,1883,1941,Woods Hole Marine Biology Institute biologist,Provided basic and initial descriptions of the structure-function-property relationship of the plasma membrane of biological cells,https://en.wikipedia.org/wiki/Ernest_Everett_Just,https://en.wikipedia.org/wiki/Ernest_Everett_Just
Rick,Kittles,1967,NA,Geneticist,Work in tracing the ancestry of African Americans via DNA testing,https://en.wikipedia.org/wiki/Rick_Kittles,https://en.wikipedia.org/wiki/Rick_Kittles
Samuel L.,Kountz,1930,1981,Transplant surgeon; researcher,"Organ transplantation pioneer, particularly renal transplant research and surgery; author or co-author of 172 articles in scientific publications",https://en.wikipedia.org/wiki/Samuel_L._Kountz,https://en.wikipedia.org/wiki/Samuel_L._Kountz
Lewis,Latimer,1848,1928,Inventor; draftsman; expert witness,Worked as a draftsman for both Alexander Graham Bell and Thomas Edison; became a member of Edison's Pioneers and served as an expert witness in many light bulb litigation lawsuits; said to have invented the water closet,https://en.wikipedia.org/wiki/Lewis_Howard_Latimer,https://en.wikipedia.org/wiki/Lewis_Howard_Latimer
Jerry,Lawson,1940,2011,Computer engineer,"Designer of Fairchild Channel F, the first programmable ROM cartridge-based video game console",https://en.wikipedia.org/wiki/Jerry_Lawson_(engineer),https://en.wikipedia.org/wiki/Jerry_Lawson_(engineer)
Raphael Carl,Lee,1949,NA,Surgeon; biomedical engineer[citation needed],"Paul and Aileen Russell Professor, Pritzker School of Medicine; MacArthur Fellow, Searle Scholar, founder and chairman, Avocet Polymer Technologies, Inc.; founder and chairman, Renacyte BioMolecular Technologies, Inc; discovered use of surfactant copolym",https://en.wikipedia.org/wiki/Raphael_Carl_Lee,https://en.wikipedia.org/wiki/Raphael_Carl_Lee
Beebe Steven,Lynk,1872,1948,Chemist,"Beebe Steven Lynk (1872–1948) served as the professor of medical Latin botany and materia medica at the University of West Tennessee. She was an active member of the early black women's club movement, authoring a book, 'Advice to Colored Women' in 1896. An advocate for women's rights, she was a member of the National Federation of Women's Clubs. Her book reflected the organization's mission of advancing the status of African-American women through education and respectability.",https://en.wikipedia.org/wiki/Beebe_Steven_Lynk,https://en.wikipedia.org/wiki/Beebe_Steven_Lynk
Mary,Mahoney,1845,1926,Nurse,First black person to study and work as a professionally trained nurse in the United States,https://en.wikipedia.org/wiki/Mary_Eliza_Mahoney,https://en.wikipedia.org/wiki/Mary_Eliza_Mahoney
Jan,Matzeliger,1852,1889,Inventor,Shoe assembly Machine,https://en.wikipedia.org/wiki/Jan_Ernst_Matzeliger,https://en.wikipedia.org/wiki/Jan_Ernst_Matzeliger
Henry,McBay,1914,1995,Chemist,His discoveries allowed chemists around the world to create inexpensive peroxide compounds,https://en.wikipedia.org/wiki/Henry_Cecil_McBay,https://en.wikipedia.org/wiki/Henry_Cecil_McBay
Elijah,McCoy,1844,1929,Inventor,"Invented a version of the automatic lubricator for steam engines, McCoy learned a great deal of his skills from a mechanical apprenticeship when he was age fifteen  .",https://en.wikipedia.org/wiki/Elijah_McCoy,https://en.wikipedia.org/wiki/Elijah_McCoy
James,McLurkin,1972,NA,Roboticist,Known for inventing the world's smallest self-contained autonomous robots,https://en.wikipedia.org/wiki/James_McLurkin,https://en.wikipedia.org/wiki/James_McLurkin
John,McWhorter,1965,NA,Linguist,Specializes in the study of creole language formation,https://en.wikipedia.org/wiki/John_McWhorter,https://en.wikipedia.org/wiki/John_McWhorter
Benjamin,Montgomery,1819,1877,Inventor,Designed a steam operated propeller to provide propulsion to boats in shallow water,https://en.wikipedia.org/wiki/Ben_Montgomery,https://en.wikipedia.org/wiki/Ben_Montgomery
Willie Hobbs,Moore,1934,1994,Physicist,First Black American woman to earn a PhD in Physics (University of Michigan Ann Arbor 1972) on vibrational analysis of secondary chlorides,https://en.wikipedia.org/wiki/Willie_Hobbs_Moore,https://en.wikipedia.org/wiki/Willie_Hobbs_Moore
Garrett,Morgan,1877,1963,Inventor,"Invented an early version of a gas mask called a smoke hood, and created the first traffic light that included a third ""warning"" position which is standard today. Morgan also developed a chemical that was used in hair products for hair-straightening.",https://en.wikipedia.org/wiki/Garrett_Morgan,https://en.wikipedia.org/wiki/Garrett_Morgan
Thomas,Mensah,1950,NA,Inventor,Pioneer in fiber optic technology,https://en.wikipedia.org/wiki/Thomas_Mensah_(engineer),https://en.wikipedia.org/wiki/Thomas_Mensah_(engineer)
Alexander,Miles,1838,1918,Inventor,Invented electric elevator doors that automatically open and close,https://en.wikipedia.org/wiki/Alexander_Miles,https://en.wikipedia.org/wiki/Alexander_Miles
Jerome,Nriagu,1944,NA,Geochemist,Studies toxic metals in the environment; supporter of the lead poisoning thesis of the decline of the Roman Empire,https://en.wikipedia.org/wiki/Jerome_Nriagu,https://en.wikipedia.org/wiki/Jerome_Nriagu
John Uzo,Ogbu,1939,2003,Anthropologist,"Ethnic studies in education and John Uzo Ogbu (May 9, 1939 – August 20, 2003) was a Nigerian-American anthropologist and professor known for his theories on observed phenomena involving race and intelligence, especially how race and ethnic differences played out in educational and economic achievement.",https://en.wikipedia.org/wiki/John_Ogbu,https://en.wikipedia.org/wiki/John_Ogbu
Kunle,Olukotun,NA,NA,Computer scientist,Early advocate and researcher of multi-core processors,https://en.wikipedia.org/wiki/Kunle_Olukotun,https://en.wikipedia.org/wiki/Kunle_Olukotun
Soni,Oyekan,1946,NA,Chemical engineer,Inventions in oil refining,https://en.wikipedia.org/wiki/Soni_Oyekan,https://en.wikipedia.org/wiki/Soni_Oyekan
Alice H.,Parker,1895,NA,Inventor,Furnace for Central Heating,https://en.wikipedia.org/wiki/Alice_H._Parker,https://en.wikipedia.org/wiki/Alice_H._Parker
Hildrus,Poindexter,1901,1987,Bacteriologist; epidemiologist,"Work on the epidemiology of tropical diseases, including malaria",https://en.wikipedia.org/wiki/Hildrus_Poindexter,https://en.wikipedia.org/wiki/Hildrus_Poindexter
Arlie,Petters,1964,NA,Physicist,Work on the mathematical physics of gravitational lensing,https://en.wikipedia.org/wiki/Arlie_Petters,https://en.wikipedia.org/wiki/Arlie_Petters
Lloyd Albert,Quarterman,1918,1982,Scientist; fluoride chemist,"Manhattan Project, worked with Albert Einstein and Enrico Fermi",https://en.wikipedia.org/wiki/Lloyd_Quarterman,https://en.wikipedia.org/wiki/Lloyd_Quarterman
Earl,Renfroe,1907,2000,Orthodontist,"In 1966, his being named head of the Department of Orthodontics made him the first black person to lead a department at the University of Illinois at Chicago College of Dentistry. He was the first black American orthodontist to open an office in the Chicago downtown Loop area, and the first black American in Illinois to be licensed as a commercial aviator.",https://en.wikipedia.org/wiki/Earl_W._Renfroe,https://en.wikipedia.org/wiki/Earl_W._Renfroe
Norbert,Rillieux,1806,1894,Engineer; inventor,Inventor of the multiple-effect evaporator,https://en.wikipedia.org/wiki/Norbert_Rillieux,https://en.wikipedia.org/wiki/Norbert_Rillieux
Larry,Robinson,1957,NA,Environmental chemist,Investigated possible role of arsenic in the death of Zachary Taylor; interim president of Florida A&M University,https://en.wikipedia.org/wiki/Larry_Robinson_(chemist),https://en.wikipedia.org/wiki/Larry_Robinson_(chemist)
Archia,Ross,NA,NA,Inventor,"A runner for stoops (1896), bag closure device (1898), a wrinkle-preventing trouser stretcher (1899), a garment-hanger (1903), and a holder for brooms and like articles.",https://en.wikipedia.org/wiki/Archia_Ross,https://en.wikipedia.org/wiki/Archia_Ross
Jesse,Russell,1948,NA,Engineer; inventor,"He holds patents and continues to invent and innovate in the emerging area of next generation broadband wireless networks, technologies and services, which is frequently referred to as 4G. Russell was inducted into the United States' National Academy of Engineering during the Clinton Administration for his contribution to the field of Wireless Communication. He pioneered the field of digital cellular communication in the 1980s through the use of high power linear amplification and low bit rate voice encoding technologies and received a patent in 1992 (US patent #5,084,869) for his work in the area of digital cellular base station design.",https://en.wikipedia.org/wiki/Jesse_Russell,https://en.wikipedia.org/wiki/Jesse_Russell
Walter,Sammons,1890,1973,Inventor,Patent for hot comb,https://en.wikipedia.org/wiki/Thomas_Sowell,https://en.wikipedia.org/wiki/Thomas_Sowell
Claude,Steele,1946,NA,Psychologist; social scientist,He is best known for his work on stereotype threat and its application to minority student academic performance. His earlier work dealt with research on the self (like self-image and self-affirmation) as well as the role of self-regulation in addictive behaviors.,https://en.wikipedia.org/wiki/Claude_Steele,https://en.wikipedia.org/wiki/Claude_Steele
Lee,Stiff,1941,NA,Mathematician,"From 2000 to 2002 Stiff was president of the National Council of Teachers of Mathematics. Under his leadership, the NCTM pushed for a greater emphasis on basic computational skills in elementary and secondary school mathematics education, and for an appropriate emphasis on conceptual understanding.",https://en.wikipedia.org/wiki/Lee_Stiff,https://en.wikipedia.org/wiki/Lee_Stiff
Window,Snyder,1976,NA,Computer engineer,"Mwende Window Snyder, better known as Window Snyder (born 1975) is an American computer security expert, currently working as the Chief Security Officer at Square, Inc.. She has previously been a top security officer at Apple, Fastly, Intel and Mozilla Corporation. She was also a Senior Security Strategist at Microsoft. She is co-author of Threat Modeling, a standard manual on application security.",https://en.wikipedia.org/wiki/Window_Snyder,https://en.wikipedia.org/wiki/Window_Snyder
Lewis,Temple,1800,1854,Inventor; blacksmith; abolitionist,Inventor of the toggling whaling harpoon head,https://en.wikipedia.org/wiki/Lewis_Temple,https://en.wikipedia.org/wiki/Lewis_Temple
Vivien,Thomas,1910,1985,Surgical technician,Blue baby syndrome treatment in the 1940s,https://en.wikipedia.org/wiki/Vivien_Thomas,https://en.wikipedia.org/wiki/Vivien_Thomas
Charles Henry,Turner,1867,1923,Zoologist,"First person to prove that insects can hear and can distinguish pitch, that cockroaches can learn by trial and error, and that honeybees can see color; first black person to receive a PhD from the University of Chicago",https://en.wikipedia.org/wiki/Charles_Henry_Turner_(zoologist),https://en.wikipedia.org/wiki/Charles_Henry_Turner_(zoologist)
G. Bernadette,Tyree,NA,NA,Biochemist[citation needed],"Program Director, Division of Musculoskeletal Diseases, at National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health",https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists
Dorothy,Vaughan,1910,2008,Mathematician,"Dorothy Johnson Vaughan (1910 – 2008) was an American mathematician and human computer who worked for the National Advisory Committee for Aeronautics (NACA), and NASA, at Langley Research Center in Hampton, Virginia. In 1949, she became supervisor of the West Area Computers, the first African-American woman to supervise a group of staff at the center. During her 28-year career, Vaughan prepared for the introduction of machine computers in the early 1960s by teaching herself and her staff the programming language of Fortran. She later headed the programming section of the Analysis and Computation Division (ACD) at Langley.",https://en.wikipedia.org/wiki/Dorothy_Vaughan,https://en.wikipedia.org/wiki/Dorothy_Vaughan
Powtawche,Valerino,1980,NA,Engineer,"Powtawche Valerino is an American mechanical engineer at the NASA Jet Propulsion Laboratory. She worked as a navigation engineer for the Cassini mission. Her most recent project was the Parker Solar Probe spacecraft, which launched on August 12, 2018. It became the first satellite to fly as close to the sun as Helios 2 did in 1976.",https://en.wikipedia.org/wiki/Powtawche_Valerino,https://en.wikipedia.org/wiki/Powtawche_Valerino
"Arthur B. C., Jr.",Walker,1936,2001,Astronomer,Developed normal incidence multilayer XUV telescopes to photograph the solar corona,"https://en.wikipedia.org/wiki/Arthur_B._C._Walker,_Jr.","https://en.wikipedia.org/wiki/Arthur_B._C._Walker,_Jr."
C. J.,Walker,1867,1919,Inventor,"Created black cosmetic products - an African American entrepreneur, philanthropist, and political and social activist. She is recorded as the first black female self-made millionaire in America in the Guinness Book of World Records.",https://en.wikipedia.org/wiki/Madam_C._J._Walker,https://en.wikipedia.org/wiki/Madam_C._J._Walker
Warren M.,Washington,1936,NA,Atmospheric scientist,Washington is an internationally recognized expert in atmospheric sciences and climate research specializing in computer modeling of the Earth's climate. ,https://en.wikipedia.org/wiki/Warren_M._Washington,https://en.wikipedia.org/wiki/Warren_M._Washington
James E.,West,1931,NA,Acoustician; inventor,Co-developed the foil electret microphone,https://en.wikipedia.org/wiki/James_Edward_Maceo_West,https://en.wikipedia.org/wiki/James_Edward_Maceo_West
